abreviation;mot_complet;categorie;commentaire
mcr;macro;prefixe structurel;prefixe obligatoire pour toutes les macros dbt (remplace cte_, verifier_, update_, etc.)
N;numero DAG;prefixe structurel;numero du modele appelant unique (ex: 12b, 6)
xx;multiple;prefixe structurel;indique que la macro est appelee par plusieurs modeles de niveaux DAG differents
vrf;verifier;operation;macro de verification (remplace verifier/verif, different de chk pour les modeles)
maj;mise a jour;operation;macro de mise a jour (remplace update, different de upd pour les modeles)
cmp;comparer;operation;macro de comparaison (remplace comparer)
aj;ajouter;operation;macro d'ajout (remplace ajouter)
lin;linearisation;domaine;contexte linearisation (suffixe conserve)
linear;linearisation / linearise / lineaire;metier;processus de linearisation (remplace linearisation, linearise, lineaire)
bdt;BD TOPO;source de donnees;base de donnees topographique IGN (remplace bdtopo)
cptg;comptage;metier;point de comptage (remplace comptag, comptage)
cmt;commentaire;operation;commentaire sur un indicateur (remplace coment)
stats;statistiques;operation;calculs statistiques (remplace statistiques)
gest;gestionnaire(s);metier;gestionnaires de voirie (remplace gestionnaires, gestionnaire)
estim;estimation / estimee;metier;valeur estimee (remplace estimation, estimee)
histo;historique;metier;donnees historiques (remplace historique)
mill;millesime;metier;annee de reference (remplace millessime, millesime)
limitr;limitrophe;metier;departement limitrophe (remplace limitrophe)
coher;coherence;operation;verification de coherence (remplace coherence)
traf;trafic;metier;indicateur de trafic (remplace trafic)
aberr;aberrantes;metier;valeurs aberrantes (remplace aberrantes, abertes)
nouv;nouveau;metier;nouveau point de comptage (remplace nouveau)
bret;bretelles;metier;bretelles acces RRN (remplace bretelles)
sect;section;metier;section homogene (remplace section)
h_agglo;hors agglomeration;metier;zone hors agglomeration (remplace horsagglo, hors_agglo)
std;standardisation;operation;standardisation des comptages (remplace standardisation/stdardisation)
evo;evolution;metier;evolution (remplace evol)
dev;devenu / devient;metier;devenu (remplace devient)
val;valeur / values / valeurs;metier;valeur d'un indicateur (remplace values, valeurs)
tronc;troncon;metier;troncon de route (remplace troncon)
