id_comptag,id_ign,id_simpli,coment_tmj_f,obs_tmja,obs_pc_pl,obs_supl,id_sect,src_sect,autor_sect,obs_vts,id_cpt1,cree_le,modifie_le
19-D36-23+50,,279556;279809;279890;279889,,,,,,,,,,2025-08-18,
19-D27-7+110,,280048;280509;282066;282311;280510,,,,,,,,,,2025-08-18,2025-08-22
19-D20-20+250,,283601;283405;283395;283390;283079;283212;283379;283583;284521;284871;285080;285376;285082;285083;285085;285095;371041,,,,,,,,,,2025-08-18,2025-08-22
19-D6-8+850,,283061;283205;283570,,,,,,,,,,2025-08-18,
19-D135-12+220,,282877,,,,,,,,,,2025-08-18,
19-D991-37+300,,284048;284053;284043;285194;284906,,,,,,,,,,2025-08-18,
19-D16-54+100,,284577,,,,,,,,,,2025-08-18,
19-D142-3+500,,284620;284626;284629;284297,,,,,,,,,,2025-08-18,
19-D32-3+150,,286306;286307;286305;286303;283459,,,,,,,,,,2025-08-18,
19-D9-4+760,,289102,,,,,,,,,,2025-08-18,
19-D34-33+50,,287772,,,,,,,,,,2025-08-18,
19-D170-3+880,,286492,,,,,,,,,,2025-08-18,
19-D65-6+625,,290649;290668,,,,,,,,,,2025-08-18,
19-D13-32+350,,293847;291561;291563;290851;290463;290468;290222,,,,,,,,,,2025-08-18,
19-D10-23+940,,290699;290713;290719;290722,,,,,,,,,,2025-08-18,
19-D13-29+80,,295006,,,,,,,,,,2025-08-18,
19-D13-20+330,,295096;295096;295583;295581;295749;295750;295751;296121;296116,,,,,,,,,,2025-08-19,
19-D53E5-1+480,,287309,,,,,,,,,,2025-08-19,
