bdd_id_comptag,gest_natureintegration,bdd_tmja,bdd_proj_traf,bdd_evol_annuelle_median,bdd_variation_evolution_prec,gest_tmja,gest_pc_pl,gest_evol_annuelle,gest_suspect,gest_obs
19-A89-181+0,MaJCptExistant,13920,14246,2.8,1.6,13930,12.1,0.07,false,
19-A89-200+0,MaJCptExistant,12010,12460,2.59,2.53,11980,12.4,-0.25,false,
19-A89-220+0,MaJCptExistant,12890,13181,2.56,2.13,12950,13.1,0.47,false,
19-A89-233+0,MaJCptExistant,12850,13046,2.5,1.99,12870,12.4,0.16,false,
19-A89-255+0,MaJCptExistant,12250,12437,2.42,2.17,12250,12.8,0,false,
19-A89-275+0,MaJCptExistant,11650,11830,2.65,2.38,11660,13.4,0.09,false,
19-A89-286+0,MaJCptExistant,11940,12121,2.54,2.5,11970,13.1,0.25,false,
19-D1089E1-118+500,correspIdComptag,12519,14307,-0.5,1.57,10915,1.7,-6.63,false,traitement ok
19-D978-44+439,correspIdComptag,2042,2599,1.13,3.75,1847,1.3,-4.89,false,traitement ok
19-D980-7+402,correspIdComptag,2239,1365,-1.75,2.39,2242,3.9,0.13,false,traitement ok
19-D44-15+270,correspIdComptag,2749,2824,1.65,0.82,3541,1.5,13.49,false,traitement ok
19-D982-27+390,creationCompteurExistDevientAssoc,1896,1984,-0.42,0.45,2379,3.2,12.02,false,
19-D1120-55+260,correspIdComptag,6910,6386,-2.3,2.8,6756,2.4,-2.23,false,
19-D1089-98+500,MaJCptExistant,8309,9566,-0.98,13.21,9678,6.1,16.48,false,
19-D7-27+800,correspIdComptag,923,,3.22,,908,1.5,-0.27,false,
19-D33-5+0,correspIdComptag,813.0,,-0.12,,928,2.7,4.51,false,
19-D39-4+0,correspIdComptag,1393.0,,-0.57,,1341,4,-1.26,false,
19-D148E1-7+0,correspIdComptag,2777.0,,-0.43,,1961,1,-10.95,false,
19-D17-18+480,MaJCptExistant,2805.0,,-0.74,,3387,3.5,6.49,false,
19-D19-4+0,MaJCptExistant,1860.0,,2.55,,1552,1.3,-5.86,false,
19-D31-15+0,MaJCptExistant,1686.0,,0.24,,1570,5,-2.35,false,
19-D44-2+0,MaJCptExistant,7164.0,,0.19,,6156,1.7,-4.93,false,
19-D17-14+60,MaJCptExistant,2144.0,,4,,2328,6.1,2.78,false,
19-D148-22+0,MaJCptExistant,3039.0,,1.41,,3164,2.1,1.35,false,
19-D921-3+760,MaJCptExistant,8643,,80.36,,8575,7.4,-0.79,false,
19-D920-25+238,MaJCptExistant,1025.0,,2.99,,1240,3,6.55,false,
19-D18-5+0,MaJCptExistant,972.0,,1.52,,963,4.9,-0.31,false,
19-D16E-1+262,correspIdComptag,1770,1849,5.29,10.37,1882,22.2,6.33,false,
19-D142E-0+600,correspIdComptag,1291,1353,-0.24,3.66,1253,15.1,-1.48,false,
19-D1120-72+225,correspIdComptag,4623,4424,0.48,0.85,4691,8,1.47,false,
19-D1120-62+0,correspIdComptag,6230,6181,-2.14,3.36,6737,5.7,3.99,false,
19-D901-10+498,correspIdComptag,4063,3693,-0.49,2.27,4132,4.5,0.85,false,
19-D921-28+0,correspIdComptag,1303.0,1565,2.22,5.38,1455,5.3,3.75,false,
19-D1089-51+500,correspIdComptag,4639,4357,2.68,1.13,4754,8.4,2.48,false,
19-D922-73+500,MaJCptExistant,5516,5794,-1.79,0.57,5960,4.7,3.95,false,
19-D901-48+808,MaJCptExistant,15205,14321,1.06,2.91,12657,2.9,-16.76,false,
19-D1089-117+470,MaJCptExistant,14799,14531,4,1.1,15558,7.1,5.13,false,
19-D1089-124+111,MaJCptExistant,10933,10520,1.63,3.73,11025,7.2,0.84,false,
19-D44-6+288,MaJCptExistant,5761,5653,0.08,0.22,6425,2,5.61,false,
19-D36-12+580,MaJCptExistant,2283,2161,0.36,3.97,2521,7.6,5.08,false,
19-D901-50+0,MaJCptExistant,16938,16344,2.53,4.47,14339,4.1,-15.34,false,
19-D1089-22+0,MaJCptExistant,3523,3754,-0.87,5.91,3779,4.6,3.57,false,
