id_propa,id_ign,type_modif,dept,cree_le,modifie_le
TRONROUT0000000097334249,TRONROUT0000000097334268,ad,19,2026-03-18,
TRONROUT0000000097320068,TRONROUT0000000097320066,ad,19,2026-03-18,
TRONROUT0000000097340137,TRONROUT0000000097338260,ad,19,2026-03-18,
TRONROUT0000000097338408,TRONROUT0000000357246089,ad,19,2026-03-18,
TRONROUT0000000097415724,TRONROUT0000000097418938;TRONROUT0000000097418949;TRONROUT0000000097417841;TRONROUT0000000097418928;TRONROUT0000000097418946;TRONROUT0000000097418935,ad,19,2026-03-18,
TRONROUT0000000097382167,TRONROUT0000000097382171;TRONROUT0000000097382180,ad,19,2026-03-18,
TRONROUT0000000097375177,TRONROUT0000000097375178,ad,19,2026-03-18,
TRONROUT0000000257228329,TRONROUT0000000097408391;TRONROUT0000000097408374;TRONROUT0000000097408392,ad,19,2026-03-18,
TRONROUT0000000097409652,TRONROUT0000000097409643;TRONROUT0000000097409646;TRONROUT0000000097409656,ad,19,2026-03-18,
TRONROUT0000000097419766,TRONROUT0000000097419767,ad,19,2026-03-18,
TRONROUT0000000097394831,TRONROUT0000000097394830,ad,19,2026-03-18,
TRONROUT0000000097373622,TRONROUT0000000097373602,ad,19,2026-03-18,
TRONROUT0000000097375473,TRONROUT0000000356698300;TRONROUT0000000257624279,ad,19,2026-03-18,
TRONROUT0000000097410139,TRONROUT0000000097410112;TRONROUT0000000097410150;TRONROUT0000000290956916;TRONROUT0000000097410158;TRONROUT0000000290956919;TRONROUT0000000290956915;TRONROUT0000000290956918;TRONROUT0000000290956911;TRONROUT0000000290956922,ad,19,2026-03-18,
,TRONROUT0000000097412243,sup,19,2026-03-18,
